user_id,tier,crawled
21308173,SILVER,0
21324026,SILVER,0
21327258,BRONZE,0
21332490,SILVER,0
21336605,BRONZE,0
21346736,BRONZE,0
21347378,BRONZE,0
21350614,SILVER,0
21363248,SILVER,0
21373246,SILVER,0
21397330,SILVER,0
21399962,SILVER,0
21403313,SILVER,0
21417111,SILVER,0
21418502,SILVER,0
21442236,SILVER,0
21468082,SILVER,0
21469253,SILVER,0
21470977,SILVER,0
21471886,SILVER,0
21479056,GOLD,0
21480990,SILVER,0
21504690,BRONZE,0
21512502,SILVER,0
21520886,SILVER,0
21521576,BRONZE,0
21529383,SILVER,0
21544904,GOLD,0
21546642,SILVER,0
21555211,SILVER,0
21555443,SILVER,0
21557858,BRONZE,0
21562525,SILVER,0
21566684,SILVER,0
21589196,SILVER,0
21606426,BRONZE,0
21609478,SILVER,0
21610444,SILVER,0
21610657,SILVER,0
21626971,BRONZE,0
21631078,SILVER,0
21637807,SILVER,0
21641009,SILVER,0
21659838,SILVER,0
21666055,SILVER,0
21715624,SILVER,0
21718749,SILVER,0
21732647,SILVER,0
21772211,SILVER,0
21775758,SILVER,0
21813927,SILVER,0
21817579,SILVER,0
21821725,SILVER,0
21835908,SILVER,0
21839200,GOLD,0
21853791,SILVER,0
21860808,SILVER,0
21876798,SILVER,0
21877124,SILVER,0
21882696,SILVER,0
21901719,SILVER,0
21943420,SILVER,0
21964318,BRONZE,0
21968780,SILVER,0
21978268,SILVER,0
21993195,SILVER,0
21996458,SILVER,0
21998004,SILVER,0
21999637,SILVER,0
22000429,SILVER,0
22003578,SILVER,0
22005347,SILVER,0
22006427,SILVER,0
22007715,SILVER,0
22017188,SILVER,0
22017962,SILVER,0
22020674,SILVER,0
22033280,SILVER,0
22036652,SILVER,0
22047431,SILVER,0
22050920,SILVER,0
22062214,SILVER,0
22070468,SILVER,0
22075509,SILVER,0
22084702,SILVER,0
22112794,SILVER,0
22135372,GOLD,0
22145605,SILVER,0
22151067,SILVER,0
22151835,BRONZE,0
22158893,BRONZE,0
22167964,BRONZE,0
22175391,SILVER,0
22184960,BRONZE,0
22187929,SILVER,0
22191427,SILVER,0
22204611,SILVER,0
22215052,SILVER,0
22217801,SILVER,0
22221360,SILVER,0
22228117,GOLD,0
22234419,SILVER,0
22235579,SILVER,0
22236889,SILVER,0
22239171,SILVER,0
22253610,SILVER,0
22296075,SILVER,0
22298807,SILVER,0
22317820,SILVER,0
22322508,BRONZE,0
22324765,SILVER,0
22349251,SILVER,0
22357657,SILVER,0
22366777,SILVER,0
22370868,SILVER,0
22386162,SILVER,0
22388946,SILVER,0
22402590,SILVER,0
22405416,GOLD,0
22407143,SILVER,0
22410517,SILVER,0
22415520,SILVER,0
22417506,SILVER,0
22428430,SILVER,0
22431874,SILVER,0
22438460,SILVER,0
22439016,SILVER,0
22468025,SILVER,0
22491282,SILVER,0
22493445,SILVER,0
22496643,SILVER,0
22508841,SILVER,0
22519860,SILVER,0
22541934,SILVER,0
22552047,SILVER,0
22583476,SILVER,0
22600633,SILVER,0
22611125,SILVER,0
22620679,SILVER,0
22620921,SILVER,0
22629477,SILVER,0
22643870,SILVER,0
22646275,SILVER,0
22653502,SILVER,0
22654329,SILVER,0
22659337,SILVER,0
22663708,SILVER,0
22671544,GOLD,0
22681624,SILVER,0
22702643,SILVER,0
22725652,SILVER,0
22734496,SILVER,0
22739214,GOLD,0
22763784,SILVER,0
22770721,SILVER,0
22779443,SILVER,0
22812986,SILVER,0
22830288,SILVER,0
22831914,SILVER,0
22837836,SILVER,0
22869421,SILVER,0
22871755,SILVER,0
22878866,SILVER,0
22894349,BRONZE,0
22899519,SILVER,0
22929154,SILVER,0
22954308,SILVER,0
22968691,SILVER,0
22970117,SILVER,0
22974769,BRONZE,0
22981023,SILVER,0
22987456,SILVER,0
22990801,SILVER,0
23007314,SILVER,0
23015991,SILVER,0
23018681,SILVER,0
23034809,SILVER,0
23059016,SILVER,0
23069754,SILVER,0
23070479,SILVER,0
23072259,SILVER,0
23093810,SILVER,0
23108781,SILVER,0
23131530,SILVER,0
23133799,SILVER,0
23144674,SILVER,0
23151347,SILVER,0
23170825,SILVER,0
23178974,SILVER,0
23185830,SILVER,0
23188610,SILVER,0
23194014,SILVER,0
23213716,SILVER,0
23225087,SILVER,0
23232211,SILVER,0
23238079,BRONZE,0
23239630,SILVER,0
23258350,SILVER,0
23260097,SILVER,0
23275347,SILVER,0
23302470,SILVER,0
23313008,SILVER,0
23319564,SILVER,0
23324343,SILVER,0
23338733,SILVER,0
23341623,SILVER,0
23345959,SILVER,0
23389701,SILVER,0
23435563,BRONZE,0
23439910,BRONZE,0
23441617,SILVER,0
23447704,SILVER,0
23461386,SILVER,0
23476118,SILVER,0
23477808,SILVER,0
23484581,SILVER,0
23496109,SILVER,0
23500008,BRONZE,0
23506561,GOLD,0
23514338,SILVER,0
23514341,SILVER,0
23524373,SILVER,0
23536863,SILVER,0
23541143,SILVER,0
23546083,SILVER,0
23591180,GOLD,0
23606452,SILVER,0
23648658,SILVER,0
23661558,SILVER,0
23664915,SILVER,0
23704252,SILVER,0
23725406,SILVER,0
23731346,SILVER,0
23738436,SILVER,0
23761298,SILVER,0
23773618,SILVER,0
23777016,SILVER,0
23803146,SILVER,0
23803950,SILVER,0
23804492,SILVER,0
23818648,SILVER,0
23819046,SILVER,0
23843596,SILVER,0
23843825,SILVER,0
23846849,SILVER,0
23857851,SILVER,0
23889291,SILVER,0
23896714,SILVER,0
23904457,SILVER,0
23936449,SILVER,0
23943080,SILVER,0
23958088,SILVER,0
23958090,SILVER,0
23958542,SILVER,0
23963006,SILVER,0
24010957,SILVER,0
24011523,SILVER,0
24019949,SILVER,0
24039817,GOLD,0
24055309,SILVER,0
24067291,SILVER,0
24068879,SILVER,0
24071368,SILVER,0
24076295,SILVER,0
24114495,BRONZE,0
24120070,SILVER,0
24120377,SILVER,0
24134988,SILVER,0
24141684,SILVER,0
24195222,SILVER,0
24218698,SILVER,0
24236546,SILVER,0
24238193,SILVER,0
24244274,SILVER,0
24245114,SILVER,0
24254508,SILVER,0
24263273,SILVER,0
24286242,SILVER,0
24289770,SILVER,0
24304412,SILVER,0
24309915,SILVER,0
24314342,SILVER,0
24316063,SILVER,0
24324802,SILVER,0
24330665,SILVER,0
24337665,SILVER,0
24365108,SILVER,0
24367619,SILVER,0
24370511,SILVER,0
24372630,SILVER,0
24383786,SILVER,0
24385179,SILVER,0
24389144,SILVER,0
24394420,SILVER,0
24413837,SILVER,0
24425391,SILVER,0
24436672,GOLD,0
24442249,SILVER,0
24443330,GOLD,0
24450511,SILVER,0
24463556,SILVER,0
24466286,GOLD,0
24493119,SILVER,0
24503949,SILVER,0
24535736,SILVER,0
24538822,SILVER,0
24540212,SILVER,0
24540633,GOLD,0
24566696,BRONZE,0
24591618,SILVER,0
24601417,SILVER,0
24606403,SILVER,0
24645385,SILVER,0
24657702,SILVER,0
24688143,SILVER,0
24717088,SILVER,0
24723132,SILVER,0
24724500,SILVER,0
24755375,SILVER,0
24799274,SILVER,0
24805524,SILVER,0
24811279,BRONZE,0
24822023,SILVER,0
24833745,SILVER,0
24852046,SILVER,0
24859390,SILVER,0
24860038,SILVER,0
24876239,SILVER,0
24927647,SILVER,0
24940572,SILVER,0
24970408,SILVER,0
24975830,GOLD,0
24983055,SILVER,0
24998156,SILVER,0
25006234,BRONZE,0
25012292,GOLD,0
25027156,SILVER,0
25029234,BRONZE,0
25035776,SILVER,0
25048237,SILVER,0
25061957,SILVER,0
25087061,SILVER,0
25103006,SILVER,0
25106558,GOLD,0
25120019,SILVER,0
25120544,BRONZE,0
25122568,SILVER,0
25145860,SILVER,0
25180319,SILVER,0
25186262,SILVER,0
25188136,SILVER,0
25195287,SILVER,0
25200524,SILVER,0
25205512,SILVER,0
25217921,SILVER,0
25242838,SILVER,0
25246755,GOLD,0
25257918,SILVER,0
25264808,SILVER,0
25278260,SILVER,0
25284033,SILVER,0
25291395,SILVER,0
25303016,SILVER,0
25305048,BRONZE,0
25313535,GOLD,0
25332017,SILVER,0
25336945,SILVER,0
25383612,SILVER,0
25388137,SILVER,0
25391296,SILVER,0
25401290,SILVER,0
25408352,SILVER,0
25412291,SILVER,0
25422523,SILVER,0
25479153,SILVER,0
25482186,BRONZE,0
25484043,BRONZE,0
25492056,SILVER,0
25509286,SILVER,0
25562158,SILVER,0
25590475,SILVER,0
25640968,BRONZE,0
25649706,SILVER,0
25712679,SILVER,0
25726329,SILVER,0
25765786,SILVER,0
25776222,SILVER,0
25779744,BRONZE,0
25795215,SILVER,0
25795708,SILVER,0
25797842,SILVER,0
25822473,SILVER,0
25823925,SILVER,0
25836260,SILVER,0
25839664,SILVER,0
25846197,GOLD,0
25847832,SILVER,0
25849874,SILVER,0
25856700,SILVER,0
25874357,SILVER,0
25911220,BRONZE,0
25933492,SILVER,0
25941164,SILVER,0
25976335,BRONZE,0
25977729,SILVER,0
26063891,BRONZE,0
26085690,SILVER,0
26085952,GOLD,0
26091642,SILVER,0
26096197,SILVER,0
26102443,SILVER,0
26105460,SILVER,0
26115233,SILVER,0
26120213,SILVER,0
26126046,SILVER,0
26135467,BRONZE,0
26153664,SILVER,0
26155649,SILVER,0
26156956,SILVER,0
26160740,SILVER,0
26164450,SILVER,0
26174115,SILVER,0
26187333,SILVER,0
26195614,SILVER,0
26196281,SILVER,0
26196426,SILVER,0
26219619,SILVER,0
26222022,SILVER,0
26236145,SILVER,0
26265659,SILVER,0
26266638,BRONZE,0
26285027,SILVER,0
26304103,SILVER,0
26330379,SILVER,0
26333153,BRONZE,0
26333448,SILVER,0
26340598,SILVER,0
26341598,SILVER,0
26353334,SILVER,0
26358346,SILVER,0
26361050,SILVER,0
26363225,SILVER,0
26366008,SILVER,0
26368555,SILVER,0
26370500,SILVER,0
26383202,SILVER,0
26387609,SILVER,0
26392098,SILVER,0
26409711,SILVER,0
26418691,SILVER,0
26441565,SILVER,0
26458509,SILVER,0
26459368,BRONZE,0
26500838,SILVER,0
26525124,SILVER,0
26560934,SILVER,0
26584621,SILVER,0
26589365,SILVER,0
26593923,SILVER,0
26609788,SILVER,0
26633697,SILVER,0
26662672,SILVER,0
26734413,SILVER,0
26759882,GOLD,0
26765788,SILVER,0
26820184,SILVER,0
26821429,SILVER,0
26824417,BRONZE,0
26832776,BRONZE,0
26846735,SILVER,0
26847795,SILVER,0
26859522,SILVER,0
26867139,SILVER,0
26868017,SILVER,0
27169095,SILVER,0
27170563,SILVER,0
27172051,SILVER,0
27199421,SILVER,0
27284144,SILVER,0
27293829,SILVER,0
27309256,SILVER,0
27310068,SILVER,0
27373122,SILVER,0
27391559,SILVER,0
27412303,SILVER,0
27460617,SILVER,0
27472774,SILVER,0
27472924,SILVER,0
27472927,BRONZE,0
27519681,SILVER,0
27589276,SILVER,0
27629444,SILVER,0
27667543,SILVER,0
27669577,SILVER,0
27672586,SILVER,0
27734829,SILVER,0
27747360,GOLD,0
27752483,SILVER,0
27754592,BRONZE,0
27778258,SILVER,0
27784241,BRONZE,0
27798252,SILVER,0
27815566,SILVER,0
27818268,SILVER,0
27830273,SILVER,0
27830456,SILVER,0
27843128,SILVER,0
27861956,SILVER,0
27941954,SILVER,0
27961586,SILVER,0
